Topic,Description,Keywords,Resources
AI Data Scientist,Overview of AI data science roles and responsibilities,AI, data science, machine learning,"AI Course, Data Science Documentation"
AI Engineer,Introduction to AI engineering concepts and practices,AI, engineering, machine learning,"AI Engineering Guide, OpenAI Documentation"
Android,Overview of Android app development,Android, mobile development,"Android Developer Guide, Kotlin Documentation"
Angular,Introduction to Angular framework for web applications,Angular, frontend development,"Angular Documentation, Angular Tutorial"
API Design,Best practices for designing APIs,API, design, development,"API Design Guide, RESTful API Documentation"
ASP.NET Core,Overview of ASP.NET Core framework for web development,ASP.NET, web development,"ASP.NET Core Documentation, Microsoft Learn"
AWS,Introduction to Amazon Web Services and cloud computing,AWS, cloud, computing,"AWS Documentation, AWS Training"
Backend,Overview of backend development and server-side programming,Backend, development, server-side,"Backend Development Guide, Node.js Documentation"
Cloudflare,Introduction to Cloudflare services and features,Cloudflare, web performance,"Cloudflare Documentation, Web Security Guide"
Code Review,Best practices for conducting code reviews,Code Review, development,"Code Review Guide, GitHub Documentation"
Computer Science,Overview of computer science fundamentals,Computer Science, programming,"Computer Science Course, CS50"
C++,Introduction to C++ programming language,C++, programming,"C++ Documentation, C++ Tutorial"
Cyber Security,Overview of cybersecurity principles and practices,Cyber Security, security,"Cyber Security Course, OWASP Guide"
Data Analyst,Roles and responsibilities of data analysts,Data Analyst, data analysis,"Data Analyst Guide, DataCamp"
Data Structures and Algorithms,Introduction to data structures and algorithms,Data Structures, algorithms,"Data Structures Course, LeetCode"
Design System,Overview of design systems and their importance,Design System, UI/UX,"Design System Guide, UX Design Documentation"
DevOps,Introduction to DevOps practices and tools,DevOps, CI/CD,"DevOps Guide, Jenkins Documentation"
DevRel,Overview of Developer Relations roles and responsibilities,DevRel, community,"DevRel Guide, Developer Advocacy"
Docker,Introduction to containerization with Docker,Docker, containers,"Docker Documentation, Docker Tutorial"
Engineering Manager,Roles and responsibilities of engineering managers,Engineering Manager, management,"Engineering Management Guide, Leadership Documentation"
Flutter,Overview of Flutter for mobile app development,Flutter, mobile development,"Flutter Documentation, Flutter Tutorial"
Frontend,Introduction to frontend development and technologies,Frontend, web development,"Frontend Development Guide, MDN Web Docs"
Full Stack,Overview of full stack development,Full Stack, web development,"Full Stack Development Guide, Full Stack Academy"
Game Developer,Introduction to game development principles,Game Developer, gaming,"Game Development Guide, Unity Learn"
Git/GitHub,Overview of version control with Git and GitHub,Git, version control,"Git Documentation, GitHub Guide"
GoLang,Introduction to Go programming language,GoLang, programming,"Go Documentation, Go Tutorial"
GraphQL,Overview of GraphQL for APIs,GraphQL, API,"GraphQL Documentation, GraphQL Tutorial"
iOS,Introduction to iOS app development,iOS, mobile development,"iOS Developer Guide, Apple Documentation"
Java,Overview of Java programming language,Java, programming,"Java Documentation, Java Tutorial"
JavaScript,Introduction to JavaScript for web development,JavaScript, web development,"JavaScript Documentation, MDN Web Docs"
Kubernetes,Overview of Kubernetes for container orchestration,Kubernetes, containers,"Kubernetes Documentation, Kubernetes Tutorial"
Linux,Introduction to Linux operating system,Linux, operating system,"Linux Documentation, Linux Command Line"
MLOps,Overview of MLOps practices and tools,MLOps, machine learning,"MLOps Guide, MLflow Documentation"
MongoDB,Introduction to MongoDB database,MongoDB, database,"MongoDB Documentation, MongoDB University"
Node.js,Overview of Node.js for server-side development,Node.js, backend,"Node.js Documentation, Node.js Tutorial"
PHP,Introduction to PHP programming language,PHP, web development,"PHP Documentation, PHP Tutorial"
PostgreSQL DBA,Overview of PostgreSQL database administration,PostgreSQL, database,"PostgreSQL Documentation, PostgreSQL Tutorial"
Product Manager,Roles and responsibilities of product managers,Product Manager, management,"Product Management Guide, Product School"
Prompt Engineering,Introduction to prompt engineering for AI,Prompt Engineering, AI,"Prompt Engineering Guide, OpenAI Documentation"
Python,Overview of Python programming language,Python, programming,"Python Documentation, Python.org"
React Native,Introduction to React Native for mobile development,React Native, mobile development,"React Native Documentation, React Native Tutorial"
React,Overview of React for frontend development,React, web development,"React Documentation, React Tutorial"
Redis,Introduction to Redis database,Redis, database,"Redis Documentation, Redis University"
Rust,Overview of Rust programming language,Rust, programming,"Rust Documentation, Rust Book"
Server-Side Game Developer,Overview of server-side game development,Game Development, server-side,"Game Development Guide, Server-Side Programming"
Software Architect,Roles and responsibilities of software architects,Software Architect, architecture,"Software Architecture Guide, Martin Fowler"
Software Design Architecture,Overview of software design principles,Software Design, architecture,"Software Design Guide, Design Patterns"
Spring Boot,Introduction to Spring Boot for Java development,Spring Boot, backend,"Spring Boot Documentation, Spring Boot Tutorial"
SQL,Overview of SQL for database management,SQL, database,"SQL Documentation, SQL Tutorial"
System Design,Introduction to system design principles,System Design, architecture,"System Design Guide, System Design Interview"
Technical Writer,Roles and responsibilities of technical writers,Technical Writer, writing,"Technical Writing Guide, Write the Docs"
Terraform,Overview of Terraform for infrastructure as code,Terrraform, DevOps,"Terraform Documentation, Terraform Tutorial"
TypeScript,Introduction to TypeScript for JavaScript development,TypeScript, programming,"TypeScript Documentation, TypeScript Handbook"
UX Design,Overview of UX design principles,UX Design, design,"UX Design Guide, Nielsen Norman Group"
